# The identifiers in the ID_REF column must match the identifiers in the ID column of the referenced platform (GPLxxxx).,,,,,,,,,,,,,,,,,,,,,,,,
# The Matrix table should include non-normalized signal count data and detection p-value,,,,,,,,,,,,,,,,,,,,,,,,
"# Values that should be disregarded may either be left blank or labeled as ""null"".",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
ID_REF,HAN_22_A_1_WT,Detection Pval,HAN_22_B_2_WT,Detection Pval,HAN_23_A_1_TG,Detection Pval,HAN_23_A_2_TG,Detection Pval,HAN_28_A_1_WT,Detection Pval,HAN_28_B_1_WT,Detection Pval,HAN_30_A_1_TG,Detection Pval,HAN_30_B_2_TG,Detection Pval,HAN_32_A_1_WT,Detection Pval,HAN_32_B_1_WT,Detection Pval,HAN_33_A_1_TG,Detection Pval,HAN_33_B_2_TG,Detection Pval
ILMN_1213337,223.1,0,131.3,0,106.3,0.08897,81.5,0.55263,140.4,0.00125,123.4,0,118.7,0.07644,100.4,0.01629,185.2,0,106.1,0.00376,120.7,0.05263,76.1,0.25815
ILMN_1213351,124.5,0.11404,77.8,0.30827,106.8,0.08145,76.9,0.82707,104.5,0.2594,76,0.81955,113.6,0.11529,87.8,0.15789,107.5,0.25188,84.6,0.39474,105.2,0.20426,74.1,0.36466
ILMN_1213354,164.2,0,85.7,0.04762,147.2,0,98.9,0.01629,138.6,0.00125,102.4,0.01253,158.5,0.00125,84.1,0.32456,165.3,0,96,0.05138,146.8,0.00752,83.3,0.0614
ILMN_1213355,107,0.63283,67.9,0.88972,90.4,0.77569,72.7,0.93484,92.6,0.78947,81.8,0.51253,92,0.78321,67.7,0.97118,90.9,0.88972,74.3,0.89975,87.2,0.89599,58,0.99123
ILMN_1213368,113.2,0.37218,78.6,0.26566,106.1,0.09148,93.7,0.05514,111.9,0.08897,94.4,0.05639,102.5,0.34712,83.6,0.35338,105.5,0.32206,93.8,0.07393,102.5,0.26942,77.2,0.21303
ILMN_1213371,102.3,0.80201,73.3,0.60902,88.2,0.85088,76.9,0.82707,103.1,0.31454,77.6,0.75815,89.5,0.86967,87.1,0.17544,96.4,0.72807,85.3,0.3584,86.7,0.90351,67.5,0.80451
ILMN_1213376,282.1,0,154.1,0,478,0,278.4,0,244.3,0,236.2,0,416.5,0,201.3,0,191.9,0,180.5,0,357.3,0,190.7,0
ILMN_1213393,99.9,0.85464,78.8,0.25815,89.9,0.78697,86.7,0.24687,98.3,0.5213,75.7,0.83333,101.2,0.40476,75.3,0.79073,100.6,0.52632,76.5,0.84336,107.7,0.16165,70.8,0.61153
ILMN_1213405,118.7,0.20301,79.6,0.21554,92.5,0.6817,88.3,0.17419,99.1,0.48747,86,0.28446,113.6,0.11529,84.2,0.3183,102.9,0.41103,85.2,0.36341,101.8,0.29574,69,0.72556
ILMN_1213409,84.2,0.99875,68.1,0.88596,85.6,0.92857,81.5,0.54762,92.8,0.78446,76.2,0.81203,81.8,0.98997,74.5,0.83208,97.1,0.69674,78.3,0.77193,86.4,0.91228,67.4,0.81203
ILMN_1213426,2424.8,0,642.3,0,1590.3,0,609.6,0,1642.6,0,728.5,0,1889.2,0,543.6,0,1636.5,0,799,0,1958.9,0,511.1,0
ILMN_1213437,120.6,0.16416,79.5,0.21679,103.1,0.17419,89.8,0.12531,114.4,0.06266,95,0.05514,124.8,0.04386,84.3,0.31203,113.3,0.1203,88.1,0.2218,120.8,0.05263,81.9,0.0802
ILMN_1213441,109.8,0.5213,70.6,0.7782,97.1,0.40852,78.7,0.71178,100,0.44862,88.3,0.18797,91.4,0.80952,72.5,0.88972,102.1,0.45238,86.4,0.31328,89.7,0.81955,73.1,0.4411
ILMN_1213449,1946.8,0,826.9,0,1047.4,0,897.7,0,1655.7,0,1231.1,0,1825,0,793.3,0,1689.1,0,1398.4,0,1930,0,712.8,0
ILMN_1213456,3162.7,0,1160.8,0,1259.8,0,732.9,0,1856.5,0,1246,0,1862.2,0,736.7,0,2143.2,0,1383.7,0,1822.3,0,674,0
ILMN_1213458,136.2,0.03509,83.5,0.07393,119.6,0.00877,106.1,0.00376,117.6,0.04261,77,0.7807,133.5,0.01378,92.9,0.06015,118,0.0589,108.7,0.00251,120.6,0.05388,80.6,0.10025
ILMN_1213473,113.6,0.35589,71.5,0.73058,96.4,0.4599,83.6,0.42857,97.6,0.57018,76.2,0.81454,100.1,0.44361,87.1,0.17544,103.8,0.3797,80.2,0.65664,89.3,0.8396,71,0.60276
ILMN_1213474,133.2,0.05013,88,0.03759,106.5,0.08647,96,0.03258,108.4,0.14536,85.4,0.31328,104.4,0.29323,84.4,0.30075,124.8,0.02256,95.6,0.05514,103.6,0.24311,83.6,0.05639
